"id","user_type_id/id","reconcile","chart_template_id/id","code","tax_ids/id","name",
"account_account_template_1","account.data_account_type_liquidity","False","l10njo_chart_template",11001002,,"Secondary Cash","الصندوق الثانوي"
"account_account_template_2","account.data_account_type_liquidity","False","l10njo_chart_template",11002002,,"PDC's Received","شيكات برسم التحصيل"
"account_account_template_3","account.data_account_type_liquidity","False","l10njo_chart_template",11002003,,"Checks Box","صندوق الشيكات"
"account_account_template_4","account.data_account_type_credit_card","True","l10njo_chart_template",11002004,,"Visa","فيزا"
"account_account_template_5","account.data_account_type_credit_card","False","l10njo_chart_template",11002005,,"Master Card","ماستر كارد"
"account_account_template_6","account.data_account_type_receivable","True","l10njo_chart_template",11003001,,"Account Receivable","الذمم المدينة"
"account_account_template_8","account.data_account_type_current_assets","False","l10njo_chart_template",11005001,,"Inventory","المخزون"
"account_account_template_9","account.data_account_type_current_assets","False","l10njo_chart_template",11005002,,"Operational Materials","مواد تشغيلية"
"account_account_template_10","account.data_account_type_current_assets","False","l10njo_chart_template",11006001,,"Prepaid Expenses - Maintenance","مصاريف مدفوعه مسبقا – الصيانة"
"account_account_template_11","account.data_account_type_current_assets","False","l10njo_chart_template",11006002,,"Prepaid Expenses - Internet","مصاريف مدفوعه مسبقا – الانترنت"
"account_account_template_12","account.data_account_type_current_assets","False","l10njo_chart_template",11006003,,"Prepaid Expenses - Rent","مصاريف مدفوعه مسبقا – الاجار"
"account_account_template_13","account.data_account_type_current_assets","False","l10njo_chart_template",11006004,,"Prepaid Expenses - Health Insurance","مصاريف مدفوعه مسبقا – تأمين صحي"
"account_account_template_14","account.data_account_type_current_assets","False","l10njo_chart_template",11007001,,"Insurance Recoveries","تأمينات مستردة"
"account_account_template_15","account.data_account_type_fixed_assets","False","l10njo_chart_template",12001001,,"Furniture","المفروشات"
"account_account_template_16","account.data_account_type_fixed_assets","False","l10njo_chart_template",12001002,,"Furniture Accumulated Depreciation","مخصص اهتلاك المفروشات"
"account_account_template_17","account.data_account_type_fixed_assets","False","l10njo_chart_template",12002001,,"Computers","الكمبيوتر"
"account_account_template_18","account.data_account_type_fixed_assets","False","l10njo_chart_template",12002002,,"Computers Accumulated Depreciation","مخصص اهتلاك الكمبيوتر"
"account_account_template_19","account.data_account_type_fixed_assets","False","l10njo_chart_template",12003001,,"Air Conditions","المكيفات"
"account_account_template_20","account.data_account_type_fixed_assets","False","l10njo_chart_template",12003002,,"Air Conditions Accumulated Depreciation","مخصص اهتلاك المكيفات"
"account_account_template_21","account.data_account_type_fixed_assets","False","l10njo_chart_template",12004001,,"Decorations","الديكورات"
"account_account_template_22","account.data_account_type_fixed_assets","False","l10njo_chart_template",12004002,,"Decorations Accumulated Depreciation","مخصص اهتلاك الديكورات"
"account_account_template_23","account.data_account_type_fixed_assets","False","l10njo_chart_template",12005001,,"Cars","السيارات"
"account_account_template_24","account.data_account_type_fixed_assets","False","l10njo_chart_template",12005002,,"Cars Accumulated Depreciation","مخصص اهتلاك السيارة"
"account_account_template_25","account.data_account_type_fixed_assets","False","l10njo_chart_template",12006001,,"Tools and Equipments","ادوات و معدات"
"account_account_template_26","account.data_account_type_fixed_assets","False","l10njo_chart_template",12006002,,"Tools and Equipments Accumulated Depreciation","مخصص اهتلاك الادوات و المعدات"
"account_account_template_27","account.data_account_type_fixed_assets","False","l10njo_chart_template",13001001,,"Accounting Systems","أنظمة الكبيوتر"
"account_account_template_28","account.data_account_type_fixed_assets","False","l10njo_chart_template",13001002,,"Accumulated Amortization. Accounting Systems","مخصص اطفاء برامج المحاسبة"
"account_account_template_29","account.data_account_type_current_liabilities","False","l10njo_chart_template",31001001,,"PDC's Issued","شيكات مؤجلة الدفع"
"account_account_template_30","account.data_account_type_payable","True","l10njo_chart_template",31002001,,"Account Payable","الذمم الدائنة"
"account_account_template_31","account.data_account_type_current_liabilities","False","l10njo_chart_template",31003001,,"Partner 1","الشريك 1"
